시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,해제사유발생일,거래구분,중개사사무소,본번,부번,단지명,전용면적(㎡),층,등기신청일자,거래유형,중개사소재지,건물명,대지권면적(㎡),발표
운양동,1***,단독다가구,12m미만,121.01,154.7,202306,26,75000,2021.0,모담공원로167번길,,직거래,-,,,,,,,,,,,발표전
고촌읍,1291,아파트,,,,202306,27,65000,2017.0,은행영사정로23번길 23,,,,1291,0.0,고촌행정타운 한양수자인,84.9949,11.0,20230918,중개거래,경기 김포시,,,발표전
장기동,2193,아파트,,,,202306,28,42400,2017.0,태장로 845,,,,2193,0.0,한강센트럴자이1단지,70.8647,9.0,20230907,중개거래,경기 김포시,,,발표전
장기동,2193,아파트,,,,202306,24,49300,2017.0,태장로 845,,,,2193,0.0,한강센트럴자이1단지,84.9751,24.0,20230823,중개거래,"경기 김포시, 인천 부평구",,,발표전
장기동,2193,아파트,,,,202306,23,50100,2017.0,태장로 845,,,,2193,0.0,한강센트럴자이1단지,84.7674,26.0,20230918,중개거래,경기 김포시,,,발표전
장기동,2193,아파트,,,,202306,23,43700,2017.0,태장로 845,,,,2193,0.0,한강센트럴자이1단지,81.832,2.0,20230908,중개거래,경기 김포시,,,발표전
장기동,2193,아파트,,,,202306,13,51800,2017.0,태장로 845,,,,2193,0.0,한강센트럴자이1단지,84.9699,11.0,20230825,중개거래,"경기 김포시, 경기 의정부시",,,발표전
장기동,Jan.65,아파트,,,,202306,29,60000,2011.0,김포한강2로 103,,,,2065,1.0,초당마을(우남퍼스트빌),114.01,2.0,20230906,중개거래,경기 김포시,,,발표전
고촌읍,1269,아파트,,,,202306,1,50500,2008.0,수기로 67-54,,,,1269,0.0,수기마을힐스테이트1단지,84.92,6.0,20230901,중개거래,경기 김포시,,,발표전
장기동,2193,아파트,,,,202306,10,48500,2017.0,태장로 845,,,,2193,0.0,한강센트럴자이1단지,84.9699,26.0,20230630,중개거래,경기 김포시,,,발표전
장기동,2193,아파트,,,,202306,6,50900,2017.0,태장로 845,,,,2193,0.0,한강센트럴자이1단지,84.9607,14.0,20230913,중개거래,경기 김포시,,,발표전
장기동,2193,아파트,,,,202306,3,49500,2017.0,태장로 845,,,,2193,0.0,한강센트럴자이1단지,84.9751,7.0,20230814,중개거래,경기 김포시,,,발표전
고촌읍,1111,아파트,,,,202306,10,66700,2006.0,신곡로3번길 34-16,,,,1111,0.0,강변마을동일하이빌,122.9674,6.0,20230717,중개거래,경기 김포시,,,발표전
장기동,Feb.71,아파트,,,,202306,26,73000,2012.0,김포한강2로 69,,,,2071,2.0,초당마을래미안한강,125.97,18.0,20230831,중개거래,경기 김포시,,,발표전
장기동,Feb.71,아파트,,,,202306,22,74000,2012.0,김포한강2로 69,,,,2071,2.0,초당마을래미안한강,125.97,23.0,20230907,중개거래,서울 송파구,,,발표전
장기동,Jan.65,아파트,,,,202306,20,68000,2011.0,김포한강2로 103,,,,2065,1.0,초당마을(우남퍼스트빌),140.56,13.0,20230712,중개거래,"경기 김포시, 서울 노원구",,,발표전
고촌읍,1291,아파트,,,,202306,2,61800,2017.0,은행영사정로23번길 23,,,,1291,0.0,고촌행정타운 한양수자인,84.9949,1.0,20230825,중개거래,경기 김포시,,,발표전
장기동,2031,아파트,,,,202306,10,54500,2017.0,김포한강2로 41,,,,2031,0.0,e편한세상캐널시티,84.3015,2.0,20230830,중개거래,경기 김포시,,,발표전
장기동,1342,아파트,,,,202306,26,41000,2001.0,청송로 20,,,,1342,0.0,청송마을(현대2),114.192,1.0,20230901,중개거래,경기 김포시,,,발표전
장기동,1342,아파트,,,,202306,13,42800,2001.0,청송로 20,,,,1342,0.0,청송마을(현대2),114.192,14.0,20230731,중개거래,경기 김포시,,,발표전
고촌읍,1269,아파트,,,,202306,6,76000,2008.0,수기로 67-54,,,,1269,0.0,수기마을힐스테이트1단지,127.87,7.0,20230814,중개거래,경기 김포시,,,발표전
고촌읍,1055,아파트,,,,202306,5,45000,2000.0,인향로 16,,,,1055,0.0,등촌마을청구,84.925,5.0,20230724,중개거래,경기 김포시,,,발표전
운양동,1250-3,아파트,,,,202306,8,73000,2012.0,김포한강11로 287,,,,1250,3.0,한강신도시e편한세상,140.463,11.0,20230914,중개거래,경기 김포시,,,발표전
운양동,1439,아파트,,,,202306,9,30000,2000.0,전원로38번길 86,,,,1439,0.0,전원마을(월드5차3단지),84.98,13.0,20230629,중개거래,경기 김포시,,,발표전
운양동,1249-1,아파트,,,,202306,24,59200,2013.0,김포한강11로255번길 149,,,,1249,1.0,풍경마을한강한라비발디,105.9775,10.0,20230919,중개거래,경기 김포시,,,발표전
운양동,1249-1,아파트,,,,202306,17,53700,2013.0,김포한강11로255번길 149,,,,1249,1.0,풍경마을한강한라비발디,106.0744,12.0,20231004,중개거래,경기 김포시,,,발표전
운양동,1249-1,아파트,,,,202306,6,58000,2013.0,김포한강11로255번길 149,,,,1249,1.0,풍경마을한강한라비발디,106.0567,19.0,20231019,중개거래,경기 김포시,,,발표전
운양동,1304-5,아파트,,,,202306,30,45000,2014.0,김포한강11로 227,,,,1304,5.0,풍경마을래미안한강2차,75.86,10.0,20231031,중개거래,경기 김포시,,,발표전
운양동,1436,아파트,,,,202306,26,26750,1999.0,전원로 27,,,,1436,0.0,전원마을(월드3차1단지),59.5305,16.0,20230814,중개거래,경기 김포시,,,발표전
운양동,1304-5,아파트,,,,202306,24,51500,2014.0,김포한강11로 227,,,,1304,5.0,풍경마을래미안한강2차,84.98,19.0,20230828,중개거래,경기 김포시,,,발표전
운양동,1304-5,아파트,,,,202306,20,52400,2014.0,김포한강11로 227,,,,1304,5.0,풍경마을래미안한강2차,84.98,20.0,20230831,중개거래,경기 김포시,,,발표전
장기동,2193,아파트,,,,202306,8,51000,2017.0,태장로 845,,,,2193,0.0,한강센트럴자이1단지,84.9751,28.0,20230704,중개거래,경기 김포시,,,발표전
운양동,1304-5,아파트,,,,202306,20,46000,2014.0,김포한강11로 227,,,,1304,5.0,풍경마을래미안한강2차,84.98,3.0,20230925,중개거래,경기 김포시,,,발표전
장기동,1342,아파트,,,,202306,26,39000,2001.0,청송로 20,,,,1342,0.0,청송마을(현대2),84.281,13.0,20231004,중개거래,경기 김포시,,,발표전
장기동,1342,아파트,,,,202306,30,43000,2001.0,청송로 20,,,,1342,0.0,청송마을(현대2),114.192,13.0,20230804,중개거래,"경기 김포시, 인천 서구",,,발표전
운양동,1436,아파트,,,,202306,28,24000,1999.0,전원로 27,,,,1436,0.0,전원마을(월드3차1단지),59.5305,14.0,20230901,중개거래,경기 김포시,,,발표전
운양동,1305-1,아파트,,,,202306,16,42500,2017.0,김포대로 1430,,,,1305,1.0,한강신도시리버에일린의뜰,84.9023,8.0,20230920,중개거래,경기 김포시,,,발표전
운양동,1331-1,아파트,,,,202306,8,46000,2018.0,김포한강11로 37,,,,1331,1.0,한강신도시운양KCC스위첸,84.96,4.0,20230811,중개거래,경기 김포시,,,발표전
운양동,1331-1,아파트,,,,202306,8,46000,2018.0,김포한강11로 37,,,,1331,1.0,한강신도시운양KCC스위첸,84.97,4.0,20230731,중개거래,경기 김포시,,,발표전
운양동,1331-1,아파트,,,,202306,6,49500,2018.0,김포한강11로 37,,,,1331,1.0,한강신도시운양KCC스위첸,84.93,15.0,20230621,중개거래,경기 김포시,,,발표전
운양동,1331-1,아파트,,,,202306,6,50000,2018.0,김포한강11로 37,,,,1331,1.0,한강신도시운양KCC스위첸,84.37,27.0,20230727,중개거래,경기 김포시,,,발표전
고촌읍,BL-A1-1,아파트,,,,202306,24,57000,2020.0,상미로 38,,,,00A1,1.0,힐스테이트 리버시티 1단지,84.9181,19.0,20230920,중개거래,경기 김포시,,,발표전
운양동,1331-1,아파트,,,,202306,3,46000,2018.0,김포한강11로 37,20230613.0,,,1331,1.0,한강신도시운양KCC스위첸,84.37,3.0, ,중개거래,경기 김포시,,,발표전
운양동,1331-1,아파트,,,,202306,23,46000,2018.0,김포한강11로 37,,,,1331,1.0,한강신도시운양KCC스위첸,84.97,4.0,20230920,중개거래,경기 김포시,,,발표전
운양동,1331-1,아파트,,,,202306,3,46000,2018.0,김포한강11로 37,,,,1331,1.0,한강신도시운양KCC스위첸,84.37,3.0,20230809,중개거래,경기 김포시,,,발표전
운양동,1305-1,아파트,,,,202306,26,42500,2017.0,김포대로 1430,,,,1305,1.0,한강신도시리버에일린의뜰,84.8915,3.0,20230914,중개거래,경기 김포시,,,발표전
운양동,1305-1,아파트,,,,202306,17,40000,2017.0,김포대로 1430,,,,1305,1.0,한강신도시리버에일린의뜰,84.9023,10.0,20230721,중개거래,경기 김포시,,,발표전
운양동,1305-1,아파트,,,,202306,16,41800,2017.0,김포대로 1430,,,,1305,1.0,한강신도시리버에일린의뜰,84.9023,8.0,20230731,중개거래,경기 김포시,,,발표전
운양동,1305-1,아파트,,,,202306,14,43800,2017.0,김포대로 1430,,,,1305,1.0,한강신도시리버에일린의뜰,84.9023,14.0,20230823,중개거래,경기 김포시,,,발표전
장기동,1869-5,아파트,,,,202306,18,43000,2014.0,김포한강2로 273,,,,1869,5.0,청송마을모아미래도엘가,84.8152,11.0,20230907,중개거래,경기 김포시,,,발표전
운양동,1331-1,아파트,,,,202306,28,48100,2018.0,김포한강11로 37,,,,1331,1.0,한강신도시운양KCC스위첸,84.97,7.0,20230811,중개거래,경기 김포시,,,발표전
운양동,1331-1,아파트,,,,202306,2,57000,2018.0,김포한강11로 37,,,,1331,1.0,한강신도시운양KCC스위첸,84.97,22.0,20230707,중개거래,경기 김포시,,,발표전
운양동,1301-1,아파트,,,,202306,21,50500,2014.0,김포한강11로 275,,,,1301,1.0,한강신도시롯데캐슬,84.7628,4.0,20230804,중개거래,경기 김포시,,,발표전
운양동,1331-1,아파트,,,,202306,24,48000,2018.0,김포한강11로 37,,,,1331,1.0,한강신도시운양KCC스위첸,84.93,13.0,20230721,중개거래,경기 김포시,,,발표전
운양동,1306-2,아파트,,,,202306,13,50000,2016.0,모담공원로 17,,,,1306,2.0,한강신도시운양푸르지오,84.917,12.0,20230628,중개거래,서울 서초구,,,발표전
고촌읍,BL-A2,아파트,,,,202306,3,54500,2020.0,수기로 136,,,,00A2,0.0,캐슬앤파밀리에시티 2단지,74.9549,7.0,20230825,중개거래,경기 김포시,,,발표전
고촌읍,BL-A2,아파트,,,,202306,5,52800,2020.0,수기로 136,,,,00A2,0.0,캐슬앤파밀리에시티 2단지,80.8786,8.0,20230912,중개거래,경기 김포시,,,발표전
고촌읍,BL-A2,아파트,,,,202306,10,56500,2020.0,수기로 136,,,,00A2,0.0,캐슬앤파밀리에시티 2단지,84.9582,8.0,20230801,중개거래,경기 김포시,,,발표전
고촌읍,BL-A2,아파트,,,,202306,11,64000,2020.0,수기로 136,,,,00A2,0.0,캐슬앤파밀리에시티 2단지,84.9034,9.0,20231220,중개거래,경기 김포시,,,발표전
고촌읍,BL-A2,아파트,,,,202306,13,47000,2020.0,수기로 136,,,,00A2,0.0,캐슬앤파밀리에시티 2단지,59.9362,7.0,20230728,중개거래,"경기 고양일산동구, 경기 김포시",,,발표전
고촌읍,BL-A2,아파트,,,,202306,19,57000,2020.0,수기로 136,,,,00A2,0.0,캐슬앤파밀리에시티 2단지,84.9582,2.0,20230731,중개거래,경기 김포시,,,발표전
운양동,1436,아파트,,,,202306,22,45000,1999.0,전원로 27,,,,1436,0.0,전원마을(월드3차1단지),164.835,9.0,20230622,직거래,-,,,발표전
운양동,1250-3,아파트,,,,202306,13,65000,2012.0,김포한강11로 287,,,,1250,3.0,한강신도시e편한세상,121.744,13.0,20230720,중개거래,경기 김포시,,,발표전
장기동,1886-2,아파트,,,,202306,11,36500,2011.0,김포한강2로 208,,,,1886,2.0,고창마을(케이씨씨스위첸),59.959,7.0,20230804,중개거래,경기 김포시,,,발표전
고촌읍,1269,아파트,,,,202306,16,55400,2008.0,수기로 67-54,,,,1269,0.0,수기마을힐스테이트1단지,84.92,13.0,20231017,중개거래,경기 김포시,,,발표전
운양동,1305-1,아파트,,,,202306,3,42700,2017.0,김포대로 1430,,,,1305,1.0,한강신도시리버에일린의뜰,84.9023,2.0,20230804,중개거래,경기 김포시,,,발표전
운양동,1304-5,아파트,,,,202306,17,46300,2014.0,김포한강11로 227,,,,1304,5.0,풍경마을래미안한강2차,68.98,4.0,20230922,중개거래,경기 김포시,,,발표전
운양동,1304-5,아파트,,,,202306,16,42800,2014.0,김포한강11로 227,,,,1304,5.0,풍경마을래미안한강2차,68.98,10.0,20230814,중개거래,경기 김포시,,,발표전
운양동,1304-5,아파트,,,,202306,15,46000,2014.0,김포한강11로 227,,,,1304,5.0,풍경마을래미안한강2차,75.86,6.0,20230724,중개거래,경기 김포시,,,발표전
장기동,Jan.58,아파트,,,,202306,5,42000,2012.0,김포한강2로 113,,,,2058,1.0,한강신도시초당마을중흥에스-클래스리버티,84.9973,13.0,20230925,중개거래,서울 영등포구,,,발표전
풍무동,775,아파트,,,,202306,19,44900,2014.0,풍무로68번길 41,,,,775,0.0,한화유로메트로2차,84.987,10.0,20230831,중개거래,"경기 김포시, 인천 서구",,,발표전
장기동,1885-6,아파트,,,,202306,26,35000,2012.0,김포한강2로 229,,,,1885,6.0,한강호반베르디움,59.9366,15.0,20230823,중개거래,경기 김포시,,,발표전
풍무동,770,아파트,,,,202306,28,45500,2014.0,풍무로68번길 39,,,,770,0.0,한화유로메트로1차,84.967,7.0,20230901,중개거래,경기 김포시,,,발표전
장기동,1885-6,아파트,,,,202306,8,33500,2012.0,김포한강2로 229,,,,1885,6.0,한강호반베르디움,59.9366,5.0,20230808,중개거래,경기 김포시,,,발표전
장기동,Jan.58,아파트,,,,202306,20,45000,2012.0,김포한강2로 113,,,,2058,1.0,한강신도시초당마을중흥에스-클래스리버티,69.9058,23.0,20230623,직거래,-,,,발표전
풍무동,BL 25--1,아파트,,,,202306,6,59500,2016.0,유현로 200,,,,25,1.0,풍무 푸르지오,84.927,12.0,20230915,중개거래,경기 김포시,,,발표전
걸포동,1595,아파트,,,,202306,8,53000,2020.0,걸포2로 83,,,,1595,0.0,한강메트로자이1단지,59.9538,16.0,20230728,중개거래,경기 김포시,,,발표전
걸포동,1555,아파트,,,,202306,13,71000,2010.0,걸포1로 39,,,,1555,0.0,오스타파라곤3단지,157.63,1.0,20230711,중개거래,경기 김포시,,,발표전
풍무동,BL 25--1,아파트,,,,202306,2,58500,2016.0,유현로 200,,,,25,1.0,풍무 푸르지오,84.9975,20.0,20230824,중개거래,경기 김포시,,,발표전
풍무동,797,아파트,,,,202306,3,40000,2018.0,유현로33번길 73,,,,797,0.0,김포풍무꿈에그린더포레듀4단지,59.95,11.0,20230831,중개거래,경기 김포시,,,발표전
풍무동,BL 25--1,아파트,,,,202306,5,60000,2016.0,유현로 200,,,,25,1.0,풍무 푸르지오,84.9931,21.0,20230810,중개거래,경기 김포시,,,발표전
풍무동,795,아파트,,,,202306,22,41000,2018.0,풍무로68번길 10,,,,795,0.0,김포풍무꿈에그린더포레듀3단지,74.975,3.0,20230828,중개거래,경기 김포시,,,발표전
풍무동,BL 25--1,아파트,,,,202306,3,58500,2016.0,유현로 200,,,,25,1.0,풍무 푸르지오,84.9914,31.0,20230724,중개거래,경기 김포시,,,발표전
장기동,1885-6,아파트,,,,202306,24,34700,2012.0,김포한강2로 229,,,,1885,6.0,한강호반베르디움,59.9695,13.0,20230810,중개거래,경기 김포시,,,발표전
풍무동,797,아파트,,,,202306,8,41800,2018.0,유현로33번길 73,,,,797,0.0,김포풍무꿈에그린더포레듀4단지,74.975,18.0,20230811,중개거래,경기 김포시,,,발표전
풍무동,797,아파트,,,,202306,14,45750,2018.0,유현로33번길 73,,,,797,0.0,김포풍무꿈에그린더포레듀4단지,74.996,21.0,20231005,중개거래,경기 김포시,,,발표전
풍무동,797,아파트,,,,202306,16,43000,2018.0,유현로33번길 73,,,,797,0.0,김포풍무꿈에그린더포레듀4단지,74.996,7.0,20230720,중개거래,경기 김포시,,,발표전
풍무동,797,아파트,,,,202306,23,47500,2018.0,유현로33번길 73,,,,797,0.0,김포풍무꿈에그린더포레듀4단지,74.996,20.0,20230714,중개거래,경기 김포시,,,발표전
풍무동,598-8,아파트,,,,202306,2,25800,1998.0,풍무로 36,,,,598,8.0,당곡마을(범양),59.794,14.0,20230817,중개거래,경기 김포시,,,발표전
걸포동,1561,아파트,,,,202306,10,59900,2010.0,걸포1로 10,,,,1561,0.0,오스타파라곤2단지,118.93,9.0,20230731,중개거래,경기 김포시,,,발표전
풍무동,748,아파트,,,,202306,15,34700,2002.0,풍무로69번길 51,,,,748,0.0,당곡마을(월드메르디앙),94.4623,15.0,20230630,중개거래,경기 김포시,,,발표전
