시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원),주택유형,메가서울,건물명
경기도 김포시 감정동,672,672,0,건영,월세,73.7,202306,17,"3,000",65,10,1995.0,봉화로167번길 35-9,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,전세,59.9919,202306,14,"18,000",0,3,2021.0,감정로 87,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,전세,59.9919,202306,17,"20,000",0,16,2021.0,감정로 87,202307~202507,갱신,-,"25,000",0.0,아파트,발표전,
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,전세,69.9958,202306,19,"19,000",0,3,2021.0,감정로 87,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,월세,75.9996,202306,24,"2,000",110,8,2021.0,감정로 87,202306~202506,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,월세,84.8674,202306,3,"3,000",90,5,2012.0,중봉로 1-1,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,전세,84.8026,202306,16,"28,000",0,9,2012.0,중봉로 1-1,202306~202506,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,전세,84.8026,202306,20,"28,000",0,15,2012.0,중봉로 1-1,202307~202507,갱신,-,"25,200",0.0,아파트,발표전,
경기도 김포시 감정동,659,659,0,삼환,전세,101.94,202306,16,"23,000",0,11,1995.0,봉화로181번길 30,202310~202510,갱신,사용,"32,000",0.0,아파트,발표전,
경기도 김포시 감정동,671,671,0,삼환아파트(201동),전세,101.96,202306,16,"20,000",0,6,1995.0,봉화로167번길 35-7,202306~202506,갱신,-,"8,000",40.0,아파트,발표전,
경기도 김포시 감정동,674,674,0,신화,전세,84.75,202306,2,"20,000",0,9,1995.0,봉화로167번길 35-18,202307~202510,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,674,674,0,신화,전세,84.75,202306,15,"20,000",0,12,1995.0,봉화로167번길 35-18,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,674,674,0,신화,전세,84.75,202306,22,"22,000",0,12,1995.0,봉화로167번길 35-18,-,-,-,,,아파트,발표전,
경기도 김포시 감정동,685,685,0,푸른마을(신안),전세,84.886,202306,1,"16,000",0,7,2001.0,감정로38번길 16,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,685,685,0,푸른마을(신안),전세,59.794,202306,8,"16,000",0,14,2001.0,감정로38번길 16,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,685,685,0,푸른마을(신안),전세,68.931,202306,22,"16,900",0,9,2001.0,감정로38번길 16,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,685,685,0,푸른마을(신안),전세,84.886,202306,23,"22,500",0,9,2001.0,감정로38번길 16,202306~202506,갱신,사용,"27,000",0.0,아파트,발표전,
경기도 김포시 감정동,685,685,0,푸른마을(신안),월세,84.886,202306,29,"10,000",40,12,2001.0,감정로38번길 16,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,676,676,0,한국,전세,84.62,202306,12,"19,000",0,8,1995.0,봉화로181번길 31-14,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,676,676,0,한국,월세,84.62,202306,22,"5,000",55,10,1995.0,봉화로181번길 31-14,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,676,676,0,한국,전세,84.62,202306,26,"22,000",0,10,1995.0,봉화로181번길 31-14,202309~202509,갱신,-,"27,000",0.0,아파트,발표전,
경기도 김포시 감정동,676,676,0,한국,월세,84.62,202306,28,"8,000",47,9,1995.0,봉화로181번길 31-14,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,662,662,0,효성,전세,99.908,202306,1,"21,000",0,4,1996.0,봉화로181번길 31-15,202306~202506,신규,-,0,0.0,아파트,발표전,
경기도 김포시 감정동,521-1,521,1,희영(무지개),월세,84.94,202306,16,"4,000",60,11,1997.0,중봉로58번길 20,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1558,1558,0,오스타파라곤1단지,전세,84.89,202306,2,"31,000",0,2,2010.0,걸포1로 11,-,갱신,-,"39,000",0.0,아파트,발표전,
경기도 김포시 걸포동,1558,1558,0,오스타파라곤1단지,전세,84.89,202306,10,"31,000",0,2,2010.0,걸포1로 11,202309~202601,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1558,1558,0,오스타파라곤1단지,전세,84.89,202306,14,"29,500",0,8,2010.0,걸포1로 11,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1558,1558,0,오스타파라곤1단지,전세,136.7,202306,22,"40,000",0,17,2010.0,걸포1로 11,202307~202507,신규,-,0,0.0,아파트,발표전,
